,index,ts_hour_sin,ts_hour_cos,tou_offpeak,tou_standard,tou_peak,day_week,day_saturday,day_sunday,site_load_energy,solar_prod_energy,solar_ctlr_setpoint,grid_import_energy,grid_notified_maximum_demand,bess_avail_discharge_energy,bess_capacity,bess_cycle_efficiency,bess_charge_from_solar_energy,bess_charge_from_grid_energy,bess_discharge_energy,tou_peak_tariff,tou_standard_tariff,tou_offpeak_tariff,solar_ppa_tariff,debug_flag,grid_surplus_energy,solar_surplus_energy,solar_vs_load_ratio,bess_soc,action_name,reward_earned
0,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1031.9,0.0,100.0,1031.9,2000.0,3000.0,3000.0,0.9,0.0,0.0,0.0,5.0,2.0,1.0,1.4,True,968.1,0.0,0.0,100.0,do-nothing,1000.0
1,1,0.8414709848078965,0.5403023058681398,1.0,0.0,0.0,1.0,0.0,0.0,1191.1,0.0,100.0,1191.1,2000.0,2500.0,3000.0,0.9,0.0,0.0,500.0,5.0,2.0,1.0,1.4,True,808.9,0.0,0.0,83.33,discharge-500,-611.1400000000001
2,2,0.9092974268256817,-0.4161468365471424,1.0,0.0,0.0,1.0,0.0,0.0,1233.8,0.0,100.0,1233.8,2000.0,2000.0,3000.0,0.9,0.0,0.0,500.0,5.0,2.0,1.0,1.4,True,766.2,0.0,0.0,66.67,discharge-500,-1444.44
3,3,0.1411200080598672,-0.9899924966004454,1.0,0.0,0.0,1.0,0.0,0.0,1145.3,0.0,100.0,1145.3,2000.0,2854.7,3000.0,0.9,0.0,854.7,0.0,5.0,2.0,1.0,1.4,True,854.7,0.0,0.0,95.16,charge-1000,2789.2000000000003
4,4,-0.7568024953079282,-0.6536436208636119,1.0,0.0,0.0,1.0,0.0,0.0,1247.1,0.0,100.0,1247.1,2000.0,2854.7,3000.0,0.9,0.0,0.0,0.0,5.0,2.0,1.0,1.4,True,752.9,0.0,0.0,95.16,do-nothing,951.6
5,5,-0.9589242746631385,0.28366218546322625,1.0,0.0,0.0,1.0,0.0,0.0,1356.72,30.52,100.0,1326.2,2000.0,3000.0,3000.0,0.9,0.0,145.29999999999995,0.0,5.0,2.0,1.0,1.4,True,673.8,0.0,2.25,100.0,charge-1000,1312.3899999999999
6,6,-0.27941549819892586,0.960170286650366,0.0,0.0,1.0,1.0,0.0,0.0,1340.9,186.9,100.0,1154.0,2000.0,1846.0,3000.0,0.9,0.0,0.0,1154.0,5.0,2.0,1.0,1.4,True,846.0,0.0,13.94,61.53,discharge-1500,3846.67
7,7,0.6569865987187891,0.7539022543433046,0.0,0.0,1.0,1.0,0.0,0.0,1218.3,545.9,100.0,672.4,2000.0,1346.0,3000.0,0.9,0.0,0.0,500.0,5.0,2.0,1.0,1.4,True,1327.6,0.0,44.81,44.87,discharge-500,1666.67
8,8,0.9893582466233818,-0.14550003380861354,0.0,0.0,1.0,1.0,0.0,0.0,1263.2,832.3,100.0,430.9,2000.0,1346.0,3000.0,0.9,0.0,0.0,0.0,5.0,2.0,1.0,1.4,True,1569.1,0.0,65.89,44.87,do-nothing,0.0
9,9,0.4121184852417566,-0.9111302618846769,0.0,1.0,0.0,1.0,0.0,0.0,1359.3,1123.6,100.0,235.7,2000.0,1110.3,3000.0,0.9,0.0,0.0,235.7,5.0,2.0,1.0,1.4,True,1764.3,0.0,82.66,37.01,discharge-1500,-314.27
10,10,-0.5440211108893698,-0.8390715290764524,0.0,1.0,0.0,1.0,0.0,0.0,1272.7,1198.2,94.303,74.5,2000.0,2610.3,3000.0,0.9,72.39,1427.61,0.0,5.0,2.0,1.0,1.4,True,1925.5,72.39,94.15,87.01,charge-1500,1859.29
11,11,-0.9999902065507035,0.004425697988050785,0.0,1.0,0.0,1.0,0.0,0.0,1194.6,1114.0,79.343,80.6,2000.0,3000.0,3000.0,0.9,113.02469099999993,276.67530899999986,0.0,5.0,2.0,1.0,1.4,True,1919.4,290.03,93.25,100.0,charge-1000,1177.84
12,12,-0.5365729180004349,0.8438539587324921,0.0,1.0,0.0,1.0,0.0,0.0,1296.0,1212.7,75.729,83.3,2000.0,2916.7,3000.0,0.9,0.0,0.0,83.3,5.0,2.0,1.0,1.4,True,1916.7,388.67,93.57,97.22,discharge-500,1009.22
13,13,0.4201670368266409,0.9074467814501962,0.0,1.0,0.0,1.0,0.0,0.0,1223.8,984.3,81.28,239.5,2000.0,2677.2,3000.0,0.9,0.0,0.0,239.5,5.0,2.0,1.0,1.4,True,1760.5,226.7,80.43,89.24,discharge-1000,935.79
