timestamp,pv_production,grid_power,lds_tou,hds_tou,load_shedding
0:00,0,0,O,O,F
0:05,0,0,O,O,F
0:10,0,0,O,O,F
0:15,0,0,O,O,F
0:20,0,0,O,O,F
0:25,0,0,O,O,F
0:30,0,0,O,O,F
0:35,0,0,O,O,F
0:40,0,0,O,O,F
0:45,0,0,O,O,F
0:50,0,0,O,O,F
0:55,0,0,O,O,F
1:00,0,0,O,O,F
1:05,0,0,O,O,F
1:10,0,0,O,O,F
1:15,0,0,O,O,F
1:20,0,0,O,O,F
1:25,0,0,O,O,F
1:30,0,0,O,O,F
1:35,0,0,O,O,F
1:40,0,0,O,O,F
1:45,0,0,O,O,F
1:50,0,0,O,O,F
1:55,0,21.6,O,O,F
2:00,0,24.08,O,O,F
2:05,0,25.8,O,O,F
2:10,0,26.36,O,O,F
2:15,0,28.48,O,O,F
2:20,0,31.76,O,O,F
2:25,0,32.16,O,O,F
2:30,0,33.56,O,O,F
2:35,0,34.96,O,O,F
2:40,0,36.64,O,O,F
2:45,0,43.56,O,O,F
2:50,0,38.92,O,O,F
2:55,0,36.68,O,O,F
3:00,0,36.04,O,O,F
3:05,0,37.04,O,O,F
3:10,0,37.76,O,O,F
3:15,0,37.44,O,O,F
3:20,0,31.72,O,O,F
3:25,0,32.48,O,O,F
3:30,0,32.12,O,O,F
3:35,0,31.92,O,O,F
3:40,0,35.04,O,O,F
3:45,0,38.24,O,O,F
3:50,0,40.2,O,O,F
3:55,0,55.64,O,O,F
4:00,0,67.76,O,O,F
4:05,0,97.4,O,O,F
4:10,0,96.12,O,O,F
4:15,0,93.24,O,O,F
4:20,0,83.4,O,O,F
4:25,0,80.96,O,O,F
4:30,0,78.8,O,O,F
4:35,0,73.8,O,O,F
4:40,0,67.72,O,O,F
4:45,0,62.36,O,O,F
4:50,0,53.6,O,O,F
4:55,0,58.32,O,O,F
5:00,0,56.76,O,O,F
5:05,0,61.88,O,O,F
5:10,0,53.92,O,O,F
5:15,0,62.16,O,O,F
5:20,0,55.4,O,O,F
5:25,0,62.56,O,O,F
5:30,0,73.12,O,O,F
5:35,0,71.08,O,O,F
5:40,0,57.6,O,O,F
5:45,0,57.6,O,O,F
5:50,0,59.76,O,O,F
5:55,0,55.44,O,O,F
6:00,0,52.88,S,P,T
6:05,0,71.32,S,P,T
6:10,0,84.44,S,P,T
6:15,0,83.6,S,P,T
6:20,0,79.4,S,P,T
6:25,0,79.04,S,P,T
6:30,0,74.44,S,P,T
6:35,0.01,69.2,S,P,T
6:40,0.11,69.44,S,P,T
6:45,0.23,73.76,S,P,T
6:50,0.4,67.36,S,P,T
6:55,0.62,65.28,S,P,T
7:00,0.88,68.88,P,P,T
7:05,1.49,67.92,P,P,T
7:10,2.23,65.28,P,P,T
7:15,3.24,65.28,P,P,T
7:20,4.48,64.28,P,P,T
7:25,6.07,70.48,P,P,T
7:30,7.85,75.24,P,P,T
7:35,9.48,78.48,P,P,T
7:40,11.16,79.68,P,P,T
7:45,12.65,77.72,P,P,T
7:50,14.06,75.76,P,P,T
7:55,15.4,62.68,P,P,T
8:00,16.84,52.6,P,P,F
8:05,18.42,51,P,P,F
8:10,19.99,54.32,P,P,F
8:15,21.34,42.12,P,P,F
8:20,22.75,32.72,P,P,F
8:25,24.01,26.52,P,P,F
8:30,25.24,30.16,P,P,F
